Código do município (IBGE);Nome do município;Região de Planejamento
2307403;Jucás;Centro Sul
2307502;Lavras da Mangabeira;Cariri
2307601;Limoeiro do Norte;Vale do Jaguaribe
2307635;Madalena;Sertão de Canindé
2307650;Maracanaú;Grande Fortaleza
2307700;Maranguape;Grande Fortaleza
2307809;Marco;Litoral Norte
2307908;Martinópole;Litoral Norte
2308005;Massapê;Sertão de Sobral
2308104;Mauriti;Cariri
2308203;Meruoca;Sertão de Sobral
2308302;Milagres;Cariri
2308351;Milhã;Sertão Central
2308377;Miraíma;Litoral Oeste / Vale do Curu
2308401;Missão Velha;Cariri
2308500;Mombaça;Sertão Central
2308609;Monsenhor Tabosa;Sertão dos Crateús
2308708;Morada Nova;Vale do Jaguaribe
2308807;Moraújo;Sertão de Sobral
2308906;Morrinhos;Litoral Norte
2309003;Mucambo;Sertão de Sobral
2309102;Mulungu;Maciço de Baturité
2309201;Nova Olinda;Cariri
2309300;Nova Russas;Sertão dos Crateús
2309409;Novo Oriente;Sertão dos Crateús
2309458;Ocara;Maciço de Baturité
2309508;Orós;Centro Sul
2309607;Pacajus;Grande Fortaleza
2309706;Pacatuba;Grande Fortaleza
2309805;Pacoti;Maciço de Baturité
2309904;Pacujá;Sertão de Sobral
2310001;Palhano;Vale do Jaguaribe
2310100;Palmácia;Maciço de Baturité
2310209;Paracuru;Grande Fortaleza
2310258;Paraipaba;Grande Fortaleza
2310308;Parambu;Sertão dos Inhamuns
2310407;Paramoti;Sertão de Canindé
2310506;Pedra Branca;Sertão Central
2310605;Penaforte;Cariri
2310704;Pentecoste;Litoral Oeste / Vale do Curu
2310803;Pereiro;Vale do Jaguaribe
2310852;Pindoretama;Grande Fortaleza
2310902;Piquet Carneiro;Sertão Central
2310951;Pires Ferreira;Sertão de Sobral
2311009;Poranga;Sertão dos Crateús
2311108;Porteiras;Cariri
2311207;Potengi;Cariri
2311231;Potiretama;Vale do Jaguaribe
2311264;Quiterianópolis;Sertão dos Inhamuns
2311306;Quixadá;Sertão Central
2311355;Quixelô;Centro Sul
2311405;Quixeramobim;Sertão Central
2311504;Quixeré;Vale do Jaguaribe
2311603;Redenção;Maciço de Baturité
2311702;Reriutaba;Sertão de Sobral
2311801;Russas;Vale do Jaguaribe
2311900;Saboeiro;Centro Sul
2311959;Salitre;Cariri
2312205;Santa Quitéria;Sertão dos Crateús
2312007;Santana do Acaraú;Sertão de Sobral
2312106;Santana do Cariri;Cariri
2312304;São Benedito;Serra da Ibiapaba
2312403;São Gonçalo do Amarante;Grande Fortaleza
2312502;São João do Jaguaribe;Vale do Jaguaribe
2312601;São Luís do Curu;Grande Fortaleza
2312700;Senador Pompeu;Sertão Central
2312809;Senador Sá;Sertão de Sobral
2312908;Sobral;Sertão de Sobral
2313005;Solonópole;Sertão Central
2313104;Tabuleiro do Norte;Vale do Jaguaribe
2313203;Tamboril;Sertão dos Crateús
2313252;Tarrafas;Cariri
2313302;Tauá;Sertão dos Inhamuns
2313351;Tejuçuoca;Litoral Oeste / Vale do Curu
2313401;Tianguá;Serra da Ibiapaba
2313500;Trairi;Grande Fortaleza
2313559;Tururu;Litoral Oeste / Vale do Curu
2313609;Ubajara;Serra da Ibiapaba
2313708;Umari;Centro Sul
2313757;Umirim;Litoral Oeste / Vale do Curu
2313807;Uruburetama;Litoral Oeste / Vale do Curu
2313906;Uruoca;Litoral Norte
2313955;Varjota;Sertão de Sobral
2314003;Várzea Alegre;Cariri
2314102;Viçosa do Ceará;Serra da Ibiapaba
